2017-12-2-19-9-58    UserID [25]    Transaction Complete 
2017-12-2-19-9-59    UserID [46]    Transaction Complete 
2017-12-2-19-9-59    UserID [54]    Transaction Complete 
2017-12-2-19-10-0    UserID [88]    Transaction Complete 
2017-12-2-19-10-0    UserID [34]    Transaction Complete 
2017-12-2-19-10-0    UserID [31]    Transaction Complete 
2017-12-2-19-10-0    UserID [80]    Transaction Complete 
2017-12-2-19-10-0    UserID [19]    Transaction Complete 
2017-12-2-19-10-0    UserID [1]    Transaction Complete 
2017-12-2-19-10-0    UserID [90]    Transaction Complete 
2017-12-2-19-10-0    UserID [99]    Transaction Complete 
2017-12-2-19-10-0    UserID [68]    Transaction Complete 
2017-12-2-19-10-0    UserID [84]    Transaction Complete 
2017-12-2-19-10-0    UserID [6]    Transaction Complete 
2017-12-2-19-10-0    UserID [78]    Transaction Complete 
2017-12-2-19-10-0    UserID [74]    Transaction Complete 
2017-12-2-19-10-0    UserID [86]    Transaction Complete 
2017-12-2-19-10-0    UserID [13]    Transaction Complete 
2017-12-2-19-10-0    UserID [89]    Transaction Complete 
2017-12-2-19-10-0    UserID [17]    Transaction Complete 
2017-12-2-19-10-0    UserID [2]    Transaction Complete 
2017-12-2-19-10-0    UserID [41]    Transaction Complete 
2017-12-2-19-10-0    UserID [20]    Transaction Complete 
2017-12-2-19-10-0    UserID [69]    Transaction Complete 
2017-12-2-19-10-0    UserID [5]    Transaction Complete 
2017-12-2-19-10-0    UserID [64]    Transaction Complete 
2017-12-2-19-10-0    UserID [73]    Transaction Complete 
2017-12-2-19-10-1    UserID [3]    Transaction Complete 
2017-12-2-19-10-1    UserID [57]    Transaction Complete 
2017-12-2-19-10-1    UserID [48]    Transaction Complete 
2017-12-2-19-10-1    UserID [29]    Transaction Complete 
2017-12-2-19-10-1    UserID [72]    Transaction Complete 
2017-12-2-19-10-1    UserID [10]    Transaction Complete 
2017-12-2-19-10-1    UserID [14]    Transaction Complete 
2017-12-2-19-10-1    UserID [0]    Transaction Complete 
2017-12-2-19-10-1    UserID [11]    Transaction Complete 
2017-12-2-19-10-1    UserID [44]    Transaction Complete 
2017-12-2-19-10-1    UserID [12]    Transaction Complete 
2017-12-2-19-10-1    UserID [87]    Transaction Complete 
2017-12-2-19-10-1    UserID [16]    Transaction Complete 
2017-12-2-19-10-1    UserID [27]    Transaction Complete 
2017-12-2-19-10-1    UserID [15]    Transaction Complete 
2017-12-2-19-10-1    UserID [97]    Transaction Complete 
2017-12-2-19-10-1    UserID [75]    Transaction Complete 
2017-12-2-19-10-1    UserID [40]    Transaction Complete 
2017-12-2-19-10-1    UserID [67]    Transaction Complete 
2017-12-2-19-10-1    UserID [96]    Transaction Complete 
2017-12-2-19-10-1    UserID [49]    Transaction Complete 
2017-12-2-19-10-1    UserID [36]    Transaction Complete 
2017-12-2-19-10-1    UserID [47]    Transaction Complete 
2017-12-2-19-10-1    UserID [77]    Transaction Complete 
2017-12-2-19-10-1    UserID [83]    Transaction Complete 
2017-12-2-19-10-1    UserID [21]    Transaction Complete 
2017-12-2-19-10-1    UserID [60]    Transaction Complete 
2017-12-2-19-10-1    UserID [76]    Transaction Complete 
2017-12-2-19-10-1    UserID [53]    Transaction Complete 
2017-12-2-19-10-1    UserID [23]    Transaction Complete 
2017-12-2-19-10-1    UserID [98]    Transaction Complete 
2017-12-2-19-10-1    UserID [63]    Transaction Complete 
2017-12-2-19-10-1    UserID [85]    Transaction Complete 
2017-12-2-19-10-1    UserID [65]    Transaction Complete 
2017-12-2-19-10-2    UserID [32]    Transaction Complete 
2017-12-2-19-10-2    UserID [43]    Transaction Complete 
2017-12-2-19-10-2    UserID [28]    Transaction Complete 
2017-12-2-19-10-2    UserID [92]    Transaction Complete 
2017-12-2-19-10-2    UserID [7]    Transaction Complete 
2017-12-2-19-10-2    UserID [94]    Transaction Complete 
2017-12-2-19-10-2    UserID [4]    Transaction Complete 
2017-12-2-19-10-2    UserID [18]    Transaction Complete 
2017-12-2-19-10-2    UserID [90]    Transaction Complete 
2017-12-2-19-10-2    UserID [62]    Transaction Complete 
2017-12-2-19-10-2    UserID [26]    Transaction Complete 
2017-12-2-19-10-2    UserID [71]    Transaction Complete 
2017-12-2-19-10-2    UserID [35]    Transaction Complete 
2017-12-2-19-10-2    UserID [9]    Transaction Complete 
2017-12-2-19-10-2    UserID [50]    Transaction Complete 
2017-12-2-19-10-2    UserID [45]    Transaction Complete 
2017-12-2-19-10-2    UserID [93]    Transaction Complete 
2017-12-2-19-10-2    UserID [33]    Transaction Complete 
2017-12-2-19-10-2    UserID [55]    Transaction Complete 
2017-12-2-19-10-2    UserID [59]    Transaction Complete 
